id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_cd
8322478,Brooklyn,40.68252,-73.92404,Entire home/apt,146,3,311,3.73,1,170,108.0
8563025,Manhattan,40.76389,-73.99072,Shared room,85,30,8,0.09,1,0,137.0
8468662,Manhattan,40.79893,-73.96769,Entire home/apt,150,30,1,0.01,1,0,126.0
8470281,Manhattan,40.82605,-73.94424,Private room,64,30,1,0.02,2,363,155.0
8323015,Brooklyn,40.64272,-73.94819,Entire home/apt,111,3,54,1.16,1,18,66.0
8470974,Manhattan,40.74028,-74.00077,Entire home/apt,220,4,20,0.23,1,29,158.0
8569534,Manhattan,40.72367,-73.981,Private room,60,30,74,0.82,2,0,156.0
8324941,Bronx,40.8534,-73.82815,Shared room,150,30,0,0.0,1,365,19.0
8577949,Brooklyn,40.64718,-73.96634,Entire home/apt,800,30,1,0.01,1,0,59.0
8582762,Brooklyn,40.72564,-73.94885,Private room,90,30,0,0.0,1,0,62.0
8472812,Brooklyn,40.73325161596117,-73.95270958167677,Entire home/apt,199,5,19,0.21,1,180,87.0
8473532,Brooklyn,40.67619,-73.95855,Private room,65,30,5,0.06,1,0,83.0
8588016,Brooklyn,40.65714,-73.95633,Entire home/apt,70,30,7,0.08,1,0,57.0
8326389,Manhattan,40.82352,-73.95245,Private room,85,3,121,1.34,1,51,128.0
8588621,Brooklyn,40.67437,-73.94791,Private room,70,2,116,1.29,1,183,83.0
8589444,Brooklyn,40.71545,-73.94022,Private room,51,30,23,0.26,2,0,98.0
8474806,Manhattan,40.82897,-73.94661,Entire home/apt,68,30,9,0.12,1,0,134.0
8326753,Manhattan,40.75955,-73.98834,Private room,150,30,3,0.04,1,0,137.0
8589729,Staten Island,40.64816,-74.08445,Entire home/apt,220,2,181,2.01,1,351,390.0
8327773,Brooklyn,40.68088,-73.93003,Entire home/apt,149,3,314,3.46,1,296,108.0
8590777,Manhattan,40.72969,-73.98649,Private room,180,30,27,0.3,2,0,156.0
8481074,Manhattan,40.72549,-73.98474,Entire home/apt,250,30,2,0.02,1,0,156.0
8328900,Brooklyn,40.67737,-73.94297,Entire home/apt,80,30,7,0.13,1,0,108.0
8330254,Brooklyn,40.68092,-73.97738,Entire home/apt,214,30,55,0.63,3,198,106.0
8594833,Brooklyn,40.67518,-74.01231,Entire home/apt,325,7,7,0.08,1,0,105.0
8484152,Brooklyn,40.70663,-73.93682,Private room,65,3,2,0.02,1,0,98.0
8335547,Manhattan,40.72291,-73.98996,Entire home/apt,250,30,1,0.01,1,0,147.0
8485057,Brooklyn,40.64742,-74.01245,Entire home/apt,80,30,34,0.38,1,0,86.0
8337597,Brooklyn,40.68725,-73.96036,Private room,50,30,1,0.01,1,0,107.0
8485671,Manhattan,40.73743,-73.98226,Entire home/apt,209,30,2,0.02,1,0,159.0
8595036,Queens,40.76534,-73.91944,Private room,86,7,107,1.19,3,219,223.0
8595346,Brooklyn,40.69132,-73.99312,Entire home/apt,212,7,50,0.57,3,10,106.0
8595349,Manhattan,40.72791,-73.98679,Entire home/apt,264,30,2,0.02,2,0,156.0
8339140,Manhattan,40.71597,-73.99848,Entire home/apt,119,30,17,0.19,1,156,136.0
8486828,Brooklyn,40.69538,-73.94961,Private room,55,30,14,0.15,1,0,98.0
8340381,Manhattan,40.85293,-73.93078,Private room,50,30,4,0.05,1,0,119.0
8488615,Manhattan,40.77719,-73.95327,Entire home/apt,175,30,1,0.01,1,0,144.0
8597141,Queens,40.74789,-73.90604,Private room,164,30,3,0.03,1,90,182.0
8597265,Brooklyn,40.71802,-73.95635,Private room,49,30,1,0.01,1,0,98.0
8603083,Brooklyn,40.67709,-73.97384,Private room,135,30,0,0.0,2,0,55.0
8605739,Brooklyn,40.69784,-73.9284,Private room,45,30,2,0.02,1,0,104.0
8340568,Brooklyn,40.65052,-73.96415,Entire home/apt,100,30,4,0.04,1,0,57.0
8341556,Manhattan,40.82277,-73.9537,Private room,73,31,89,0.98,4,0,128.0
8608841,Brooklyn,40.71146,-73.95693,Entire home/apt,120,30,1,0.01,1,0,98.0
8496270,Manhattan,40.76326,-73.99142,Entire home/apt,500,30,0,0.0,1,0,137.0
8498885,Manhattan,40.71506,-73.98702,Entire home/apt,200,30,4,0.04,1,0,136.0
8499719,Queens,40.76271,-73.91208,Private room,75,30,107,1.18,1,364,223.0
8610093,Manhattan,40.81352,-73.9587,Entire home/apt,80,30,3,0.03,1,0,150.0
8611817,Manhattan,40.80109,-73.95323,Private room,69,6,106,1.35,1,0,150.0
8502814,Brooklyn,40.63682,-73.9676,Entire home/apt,70,30,0,0.0,2,0,59.0
8355794,Manhattan,40.80352,-73.96641,Private room,60,30,2,0.02,1,0,126.0
